HaulID,length,number,SubSamplingFactor
1992DK_069,33,9,1
1992DK_069,34,2,1
1992DK_069,36,1,1
1992DK_070,25,1,1
1992DK_070,28,1,1
1992DK_070,29,1,1
1992DK_070,30,1,1
1992DK_070,31,3,1
1992DK_070,32,4,1
1992DK_070,33,2,1
1992DK_070,34,2,1
1992DK_071,21,1,1
1992DK_071,22,1,1
1992DK_071,24,1,1
1992DK_071,25,8,1
1992DK_071,26,7,1
1992DK_071,27,8,1
1992DK_071,28,4,1
1992DK_071,29,10,1
1992DK_071,30,14,1
1992DK_071,31,15,1
1992DK_071,32,6,1
1992DK_071,33,3,1
1992DK_071,34,2,1
1992DK_071,35,1,1
1992DK_072,21,1,1
1992DK_072,22,1,1
1992DK_072,23,6,1
1992DK_072,24,11,1
1992DK_072,25,17,1
1992DK_072,26,17,1
1992DK_072,27,27,1
1992DK_072,28,28,1
1992DK_072,29,28,1
1992DK_072,30,21,1
1992DK_072,31,11,1
1992DK_072,32,5,1
1992DK_072,33,1,1
1992DK_073,21,1,1
1992DK_073,22,5,1
1992DK_073,23,3,1
1992DK_073,24,12,1
1992DK_073,25,7,1
1992DK_073,26,7,1
1992DK_073,27,8,1
1992DK_073,28,10,1
1992DK_073,29,5,1
1992DK_073,30,2,1
1992DK_073,31,3,1
1992DK_074,21,3,1
1992DK_074,22,1,1
1992DK_074,23,9,1
1992DK_074,24,6,1
1992DK_074,25,8,1
1992DK_074,26,8,1
1992DK_074,27,6,1
1992DK_074,28,8,1
1992DK_074,29,2,1
1992DK_074,30,2,1
1992DK_074,32,2,1
1992DK_075,19,1,1
1992DK_075,20,2,1
1992DK_075,22,1,1
1992DK_075,23,2,1
1992DK_075,24,7,1
1992DK_075,25,4,1
1992DK_075,26,3,1
1992DK_075,27,3,1
1992DK_075,28,6,1
1992DK_075,29,2,1
1992DK_075,30,3,1
1992DK_075,31,2,1
1992DK_075,32,1,1
1992DK_075,35,1,1
1992DK_076,19,1,1
1992DK_076,20,1,1
1992DK_076,21,4,1
1992DK_076,22,9,1
1992DK_076,23,8,1
1992DK_076,24,9,1
1992DK_076,25,10,1
1992DK_076,26,6,1
1992DK_076,27,9,1
1992DK_076,28,10,1
1992DK_076,29,11,1
1992DK_076,30,3,1
1992DK_076,31,1,1
1992DK_076,32,2,1
1992DK_076,33,1,1
1992DK_077,21,8,1
1992DK_077,22,9,1
1992DK_077,23,11,1
1992DK_077,24,14,1
1992DK_077,25,20,1
1992DK_077,26,26,1
1992DK_077,27,8,1
1992DK_077,28,5,1
1992DK_077,29,4,1
1992DK_077,30,2,1
1992DK_078,22,1,1
1992DK_078,27,1,1
1992DK_079,23,1,1
1992DK_079,24,2,1
1992DK_079,25,3,1
1992DK_079,26,6,1
1992DK_079,27,2,1
1992DK_079,28,5,1
1992DK_079,29,2,1
1992DK_079,30,2,1
1992DK_079,31,5,1
1992DK_079,32,1,1
1992DK_079,33,5,1
1992DK_079,34,3,1
1992DK_079,35,2,1
1992DK_080,23,1,1
1992DK_080,24,2,1
1992DK_080,25,1,1
1992DK_080,26,3,1
1992DK_080,27,3,1
1992DK_080,28,3,1
1992DK_080,29,4,1
1992DK_080,30,5,1
1992DK_080,31,9,1
1992DK_080,32,22,1
1992DK_080,33,31,1
1992DK_080,34,40,1
1992DK_080,35,17,1
1992DK_080,36,2,1
1992DK_080,37,1,1
1992DK_081,25,1,1
1992DK_081,26,1,1
1992DK_081,27,2,1
1992DK_081,29,1,1
1992DK_081,30,1,1
1992DK_081,31,4,1
1992DK_081,32,2,1
1992DK_081,33,4,1
1992DK_081,34,2,1
1992DK_081,35,2,1
1992DK_082,25,1,1
1992DK_082,29,2,1
1992DK_082,30,3,1
1992DK_082,31,7,1
1992DK_082,32,1,1
1992DK_082,33,3,1
1992DK_083,24,1,1
1992DK_083,25,1,1
1992DK_083,26,1,1
1992DK_083,27,2,1
1992DK_083,28,5,1
1992DK_083,29,13,1
1992DK_083,30,17,1
1992DK_083,31,19,1
1992DK_083,32,15,1
1992DK_083,33,2,1
1992DK_083,34,1,1
1992DK_084,25,2,1
1992DK_084,27,3,1
1992DK_084,28,5,1
1992DK_084,29,9,1
1992DK_084,30,14,1
1992DK_084,31,24,1
1992DK_084,32,29,1
1992DK_084,33,20,1
1992DK_084,34,4,1
1992DK_084,35,2,1
1992DK_085,20,1,1
1992DK_085,22,1,1
1992DK_085,23,3,1
1992DK_085,24,6,1
1992DK_085,25,2,1
1992DK_085,26,4,1
1992DK_085,27,6,1
1992DK_085,28,6,1
1992DK_085,29,3,1
1992DK_085,30,5,1
1992DK_085,31,5,1
1992DK_085,32,13,1
1992DK_085,33,24,1
1992DK_085,34,22,1
1992DK_085,35,10,1
1992DK_085,36,5,1
1992DK_085,37,3,1
1992DK_085,38,2,1
1992DK_085,39,1,1
1992DK_086,23,2,1
1992DK_086,24,2,1
1992DK_086,25,4,1
1992DK_086,26,1,1
1992DK_086,27,2,1
1992DK_086,28,3,1
1992DK_086,29,5,1
1992DK_086,30,4,1
1992DK_086,31,1,1
1992DK_086,32,8,1
1992DK_086,33,7,1
1992DK_086,34,6,1
1992DK_086,35,4,1
1992DK_086,36,1,1
1992DK_086,37,1,1
1992DK_086,39,1,1
1992DK_087,31,1,1
1992DK_087,32,1,1
1992DK_087,33,1,1
1992DK_087,34,6,1
1992DK_087,35,8,1
1992DK_087,36,10,1
1992DK_087,37,1,1
1992DK_087,38,1,1
1992DK_087,39,1,1
1992DK_088,26,1,1
1992DK_088,31,1,1
1992DK_088,32,1,1
1992DK_088,33,3,1
1992DK_088,34,5,1
1992DK_088,35,4,1
1992DK_088,36,1,1
1992DK_088,38,1,1
1992DK_089,26,2,1
1992DK_089,27,1,1
1992DK_089,28,4,1
1992DK_089,29,4,1
1992DK_089,30,5,1
1992DK_089,31,7,1
1992DK_089,32,9,1
1992DK_089,33,11,1
1992DK_089,34,2,1
1992DK_089,35,1,1
1992DK_090,25,1,1
1992DK_090,27,2,1
1992DK_090,28,3,1
1992DK_090,29,2,1
1992DK_090,30,3,1
1992DK_090,31,5,1
1992DK_090,32,5,1
1992DK_090,33,6,1
1992DK_090,34,5,1
1992DK_090,35,4,1
1992DK_090,36,2,1
1992DK_091,26,3,1
1992DK_091,27,5,1
1992DK_091,28,7,1
1992DK_091,29,7,1
1992DK_091,30,8,1
1992DK_091,31,11,1
1992DK_091,32,9,1
1992DK_091,33,7,1
1992DK_091,34,3,1
1992DK_091,35,7,1
1992DK_091,36,1,1
1992DK_092,24,2,1
1992DK_092,25,2,1
1992DK_092,26,1,1
1992DK_092,28,1,1
1992DK_092,30,3,1
1992DK_092,31,1,1
1992DK_092,32,5,1
1992DK_092,33,4,1
1992DK_092,34,3,1
1992DK_092,35,2,1
1992DK_093,24,1,1
1992DK_093,25,2,1
1992DK_093,27,1,1
1992DK_093,28,1,1
1992DK_093,29,1,1
1992DK_093,30,3,1
1992DK_093,31,3,1
1992DK_093,32,7,1
1992DK_093,33,4,1
1992DK_093,34,8,1
1992DK_093,35,3,1
1992DK_093,36,3,1
1992DK_093,38,1,1
1992DK_094,24,1,1
1992DK_094,26,1,1
1992DK_094,27,2,1
1992DK_094,28,1,1
1992DK_094,29,6,1
1992DK_094,30,2,1
1992DK_094,31,11,1
1992DK_094,32,8,1
1992DK_094,33,6,1
1992DK_094,34,4,1
1992DK_094,35,2,1
1992DK_094,36,2,1
1992DK_095,21,1,1
1992DK_095,24,1,1
1992DK_095,25,1,1
1992DK_095,26,2,1
1992DK_095,27,3,1
1992DK_095,29,2,1
1992DK_095,30,4,1
1992DK_095,31,4,1
1992DK_095,32,7,1
1992DK_095,33,3,1
1992DK_095,34,8,1
1992DK_095,35,3,1
1992DK_095,36,1,1
1992DK_095,38,1,1
1992DK_096,25,1,1
1992DK_096,26,2,1
1992DK_096,28,2,1
1992DK_096,29,1,1
1992DK_096,30,4,1
1992DK_096,31,6,1
1992DK_096,32,6,1
1992DK_096,33,9,1
1992DK_096,34,9,1
1992DK_096,35,2,1
1992DK_096,38,1,1
1992DK_097,27,1,1
1992DK_097,28,1,1
1992DK_097,29,3,1
1992DK_097,30,1,1
1992DK_097,31,6,1
1992DK_097,32,6,1
1992DK_097,33,10,1
1992DK_097,34,3,1
1992DK_097,35,3,1
1992DK_097,38,1,1
1992NL_001,16,1,1
1992NL_001,17,1,1
1992NL_001,18,1,1
1992NL_001,21,1,1
1992NL_001,22,2,1
1992NL_001,23,2,1
1992NL_001,24,1,1
1992NL_001,25,1,1
1992NL_001,26,1,1
1992NL_001,27,2,1
1992NL_001,28,2,1
1992NL_001,29,1,1
1992NL_001,31,1,1
1992NL_001,32,2,1
1992NL_002,21,6,1
1992NL_002,22,6,1
1992NL_002,23,6,1
1992NL_002,24,12,1
1992NL_002,25,18,1
1992NL_002,26,24,1
1992NL_002,27,12,1
1992NL_002,29,6,1
1992NL_003,23,1,1
1992NL_003,24,1,1
1992NL_003,27,1,1
1992NL_004,23,5,1
1992NL_004,26,9,1
1992NL_004,27,24,1
1992NL_004,28,14,1
1992NL_004,29,9,1
1992NL_004,30,5,1
1992NL_004,33,5,1
1992NL_005,19,6,1
1992NL_005,21,6,1
1992NL_005,22,12,1
1992NL_005,23,18,1
1992NL_005,24,12,1
1992NL_005,25,12,1
1992NL_005,26,24,1
1992NL_005,27,12,1
1992NL_005,30,6,1
1992NL_006,21,1,1
1992NL_006,22,1,1
1992NL_006,24,3,1
1992NL_006,25,2,1
1992NL_006,26,5,1
1992NL_006,27,4,1
1992NL_006,28,2,1
1992NL_006,29,1,1
1992NL_006,30,1,1
1992NL_006,31,1,1
1992NL_007,21,6,1
1992NL_007,22,6,1
1992NL_007,23,12,1
1992NL_007,24,24,1
1992NL_007,25,18,1
1992NL_007,26,24,1
1992NL_007,27,18,1
1992NL_007,28,12,1
1992NL_007,29,6,1
1992NL_007,31,6,1
1992NL_008,21,2,1
1992NL_008,22,3,1
1992NL_008,23,2,1
1992NL_008,24,3,1
1992NL_008,25,1,1
1992NL_008,26,3,1
1992NL_008,27,2,1
1992NL_008,28,1,1
1992NL_008,30,1,1
1992NL_009,23,1,1
1992NL_009,25,1,1
1992NL_009,26,3,1
1992NL_009,27,2,1
1992NL_009,28,2,1
1992NL_009,29,4,1
1992NL_009,30,1,1
1992NL_009,31,2,1
1992NL_009,32,1,1
1992NL_009,33,1,1
1992NL_010,22,8,1
1992NL_010,23,12,1
1992NL_010,24,8,1
1992NL_010,25,24,1
1992NL_010,26,12,1
1992NL_010,27,16,1
1992NL_010,28,8,1
1992NL_010,29,8,1
1992NL_010,30,8,1
1992NL_010,31,4,1
1992NL_010,32,4,1
1992NL_010,34,4,1
1992NL_011,21,1,1
1992NL_011,22,2,1
1992NL_011,23,1,1
1992NL_011,24,1,1
1992NL_011,25,1,1
1992NL_011,26,6,1
1992NL_011,27,5,1
1992NL_011,28,5,1
1992NL_011,29,2,1
1992NL_011,30,2,1
1992NL_011,31,1,1
1992NL_011,32,1,1
1992NL_011,33,1,1
1992NL_012,22,4,1
1992NL_012,23,4,1
1992NL_012,24,6,1
